Selected Article,Stakeholder,Giver,Receiver,Problematic Behavior,Aftermath,Platform,Link
"('Likejacking': Spammers Hit Social Media, bloomberg businessweek, 2012-05-28)",Regular Group->Regular Group,Regular Group,Regular Group,Scaled Abuse_Spam,,Pinterest,https://www.bloomberg.com/news/articles/2012-05-24/likejacking-spammers-hit-social-media
"('Media: Tools of the trade: Anti-SMS-spam', 'the guardian', '2009-06-29')",Regular Group->Regular Group,Regular Group,Regular Group,Scaled Abuse_Spam,,Message,https://www.theguardian.com/media/2009/jun/29/avoid-sms-spam-advice
"('Miscreants hack FB account of transgender board V-C', 'the times of india', '2023-03-05')",Regular Group->Influential Individual,Regular Group,Influential Individual,Scaled Abuse_Hacking,Legal Action,Facebook,https://timesofindia.indiatimes.com/city/lucknow/miscreants-hack-fb-account-of-transgender-board-v-c/articleshow/98421039.cms
"('More E-Mail Account Details Leaked Online', 'new york times', '2009-10-06')",Regular Group->Regular Group,Regular Group,Regular Group,Scaled Abuse_Malware,,Hotmail,https://archive.nytimes.com/gadgetwise.blogs.nytimes.com/2009/10/06/more-e-mail-account-details-leaked-online/
"('Spot the bot: AI-generated fake reviews flooding the internet prove difficult to detect', 'irish examiner', '2023-07-15')",Regular Group->Regular Group,Regular Group,Regular Group,Scaled Abuse_Inauthentic Behavior,Social Media Policy Change,Online,https://www.irishexaminer.com/opinion/commentanalysis/arid-41184352.html
"('Thai hacktivists targeting government websites arrested, junta says', 'dpa international (english)', '2016-12-26')",Regular Individual->Influential Individual,Regular Individual,Influential Individual,Scaled Abuse_Malware,Legal Action,Online,https://www.newvision.co.ug/news/1442831/thailand-detains-hacks-protesting-cyber-law
"('Today’s Scuttlebot: Confessions of a Fake Web Traffic Buyer, and the False Promise of Classroom Technology', 'new york times', '2013-11-12')",Influential Individual->Regular Group,Influential Individual,Regular Group,Scaled Abuse_Inauthentic Behavior,,Online,https://archive.nytimes.com/bits.blogs.nytimes.com/2013/11/12/todays-scuttlebot-confessions-of-a-fake-web-traffic-buyer-and-the-false-promise-of-classroom-technology/
"('Video shows how to hack emergency alert system to send fake terror threats', 'the daily telegraph', '2023-04-22')",Influential Individual->Influential Individual,Influential Individual,Influential Individual,Scaled Abuse_Hacking,,Youtube,https://www.telegraph.co.uk/politics/2023/04/21/hackers-fake-terror-threats-youtube/
"('What happens when most of China visits your website? It dies a horrible death', 'the guardian', '2015-01-23')",Regular Group->Social Media Platform,Regular Group,Social Media Platform,Scaled Abuse_Spam,,Iconfactory,https://www.theguardian.com/technology/2015/jan/23/what-happens-when-most-of-china-visits-your-website-it-dies-a-horrible-death
"('With money moving hands, online crime comes of age', 'the times of india', '2011-08-23')",Regular Group->Influential Individual,Regular Group,Influential Individual,Scaled Abuse_Malware,,Online,https://timesofindia.indiatimes.com/city/mumbai/with-money-moving-hands-online-crime-comes-of-age/articleshow/9690938.cms
